,trialsIdx,conditions,rOri,lOri,xvals,respLoc,accuracy,targetLoc,RT,factor2
2145,103,-1,1.0,1.0,0.099749555,1,0,1,0.576063395,1
2147,105,1,1.0,1.0,0.497498683,1,1,2,0.389276981,1
2148,106,-1,1.0,-1.0,0.497498683,1,1,2,0.821627855,1
2149,107,1,1.0,1.0,0.099749555,1,0,1,0.30591464,1
2151,109,1,-1.0,-1.0,0.099749555,1,1,1,0.257840633,1
2152,110,0,-1.0,1.0,0.02,1,1,1,0.417305946,1
2153,111,1,1.0,-1.0,0.058382673,1,1,2,0.2305336,1
2154,112,1,-1.0,-1.0,0.291182282,1,1,1,0.694151878,1
2156,114,1,-1.0,-1.0,0.497498683,1,1,1,0.297478199,1
2157,115,1,1.0,-1.0,0.058382673,1,1,2,0.716923952,1
2160,118,1,-1.0,-1.0,0.291182282,1,0,2,1.357241869,1
2161,119,0,1.0,1.0,0.099749555,1,1,2,0.388725996,1
2164,122,1,1.0,1.0,0.497498683,1,1,2,1.462360382,1
2169,127,1,-1.0,1.0,0.099749555,1,1,1,0.494761229,1
2171,129,1,1.0,1.0,0.497498683,1,1,2,0.329663754,1
2172,130,1,1.0,-1.0,0.291182282,1,1,2,0.373432636,1
2173,131,1,-1.0,-1.0,0.058382673,1,0,2,1.080501795,1
2177,135,1,-1.0,1.0,0.497498683,1,1,1,0.313050985,1
2181,139,1,1.0,-1.0,0.02,1,0,1,0.362896919,1
2182,140,0,1.0,-1.0,0.02,1,1,2,0.364095449,1
2183,141,1,1.0,1.0,0.291182282,1,1,2,0.270182133,1
2185,143,-1,-1.0,-1.0,0.099749555,1,0,2,0.388684511,1
2186,144,1,-1.0,1.0,0.034170945,1,1,1,0.400593042,1
2187,145,1,1.0,1.0,0.85,1,1,2,1.30926466,1
2188,146,1,1.0,1.0,0.058382673,1,1,2,0.281947136,1
2196,154,-1,1.0,-1.0,0.034170945,1,1,2,0.175187349,1
2197,155,1,-1.0,1.0,0.291182282,1,1,1,0.282371044,1
2199,157,-1,1.0,1.0,0.099749555,1,0,1,0.833707094,1
2200,158,1,-1.0,-1.0,0.058382673,1,1,1,0.581908703,1
2203,161,-1,1.0,-1.0,0.099749555,1,1,2,0.459840775,1
2204,162,1,1.0,1.0,0.02,1,1,2,0.242030859,1
2206,164,1,1.0,-1.0,0.85,1,1,2,1.08798337,1
2216,174,1,1.0,-1.0,0.291182282,1,0,1,0.532744169,1
2217,175,-1,-1.0,1.0,0.034170945,1,1,1,0.827640772,1
2219,177,1,-1.0,1.0,0.170426826,1,1,1,0.257440805,1
2220,178,1,-1.0,1.0,0.02,1,0,2,0.294679642,1
2221,179,1,-1.0,-1.0,0.02,1,1,1,0.277752638,1
2222,180,1,1.0,1.0,0.497498683,1,0,1,0.43657589,1
2223,181,1,1.0,1.0,0.034170945,1,1,2,0.327422857,1
2224,182,1,-1.0,-1.0,0.099749555,1,1,1,0.301007271,1
2226,184,1,1.0,1.0,0.02,1,1,2,0.217227936,1
2229,187,1,1.0,-1.0,0.170426826,1,1,2,0.173604965,1
2234,192,0,-1.0,1.0,0.497498683,1,0,2,0.330343485,1
2235,193,1,-1.0,-1.0,0.034170945,1,1,1,0.61516571,1
2236,194,1,1.0,1.0,0.497498683,1,1,2,0.463977337,1
2238,196,1,-1.0,-1.0,0.170426826,1,1,1,0.65047431,1
2239,197,1,-1.0,-1.0,0.291182282,1,1,1,0.260086775,1
2240,198,-1,1.0,1.0,0.497498683,1,1,2,0.20382309,1
2242,200,-1,1.0,1.0,0.034170945,1,0,1,0.48302269,1
2243,201,-1,1.0,-1.0,0.291182282,1,0,1,0.557600498,1
2245,203,1,1.0,1.0,0.02,1,1,2,0.270138979,1
2246,204,1,-1.0,-1.0,0.099749555,1,1,1,0.324040174,1
2247,205,1,1.0,-1.0,0.497498683,1,1,2,0.34339571,1
2249,207,0,-1.0,-1.0,0.099749555,1,1,1,0.613836527,1
2251,209,1,-1.0,-1.0,0.099749555,1,0,2,0.503463745,1
2252,210,0,-1.0,-1.0,0.291182282,1,1,1,0.29769969,1
2253,211,0,-1.0,-1.0,0.170426826,1,1,1,0.545047998,1
2258,216,0,-1.0,1.0,0.02,1,1,1,0.13729167,1
2259,217,1,-1.0,1.0,0.291182282,1,1,1,0.258412838,1
2260,218,-1,1.0,1.0,0.85,1,1,2,0.371979952,1
2262,220,-1,-1.0,1.0,0.497498683,1,1,1,0.3514328,1
2264,222,-1,1.0,1.0,0.058382673,1,1,2,0.680621624,1
2265,223,-1,1.0,1.0,0.85,1,1,2,0.969985008,1
2267,225,1,1.0,-1.0,0.034170945,1,1,2,0.256792784,1
2269,227,0,-1.0,1.0,0.170426826,1,1,1,0.440536737,1
2271,229,1,1.0,1.0,0.02,1,1,2,0.157659292,1
2273,231,0,1.0,-1.0,0.291182282,1,0,1,0.4668715,1
2279,237,1,-1.0,1.0,0.034170945,1,1,1,0.46720624,1
2281,239,0,-1.0,1.0,0.497498683,1,1,1,0.4245224,1
2282,240,-1,1.0,-1.0,0.170426826,1,0,1,0.573535919,1
2283,241,-1,1.0,-1.0,0.02,1,1,2,0.309331179,1
2284,242,1,-1.0,-1.0,0.058382673,1,1,1,0.59355545,1
2285,243,1,1.0,-1.0,0.85,1,1,2,0.402398825,1
2288,246,1,1.0,1.0,0.85,1,1,2,0.239316463,1
2289,247,1,1.0,-1.0,0.497498683,1,0,1,0.327318668,1
2291,249,1,1.0,-1.0,0.170426826,1,1,2,0.161953211,1
2298,256,-1,1.0,1.0,0.099749555,1,1,2,0.343239546,1
2299,257,1,1.0,1.0,0.85,1,0,1,0.523281336,1
2300,258,1,-1.0,-1.0,0.02,1,0,2,0.349838018,1
2303,261,-1,-1.0,1.0,0.170426826,1,1,1,0.33671093,1
2305,263,1,-1.0,1.0,0.02,1,1,1,0.293486595,1
2306,264,0,-1.0,-1.0,0.02,1,1,1,0.239773512,1
2307,265,1,1.0,-1.0,0.099749555,1,1,2,0.325443029,1
2308,266,-1,-1.0,-1.0,0.497498683,1,1,1,0.237230301,1
2309,267,1,1.0,1.0,0.85,1,1,2,0.212942123,1
2311,269,-1,1.0,1.0,0.02,1,0,1,0.220692635,1
2316,274,-1,-1.0,1.0,0.497498683,1,1,1,0.29525733,1
2317,275,0,1.0,1.0,0.291182282,1,1,2,0.935280085,1
2318,276,0,1.0,-1.0,0.058382673,1,1,2,0.346495152,1
2319,277,1,1.0,-1.0,0.291182282,1,1,2,0.216106176,1
2321,279,0,-1.0,-1.0,0.034170945,1,0,2,0.342601299,1
2325,283,0,1.0,1.0,0.170426826,1,1,2,0.322165966,1
2326,284,1,1.0,1.0,0.291182282,1,1,2,0.467725992,1
2327,285,-1,-1.0,-1.0,0.85,1,1,1,0.258213282,1
2328,286,0,1.0,1.0,0.85,1,1,2,0.258910418,1
2329,287,1,1.0,-1.0,0.170426826,1,0,1,0.471547842,1
2334,292,-1,1.0,-1.0,0.034170945,1,0,1,0.290714025,1
2335,293,-1,1.0,1.0,0.034170945,1,0,1,0.329390287,1
2338,296,1,-1.0,-1.0,0.291182282,1,1,1,0.287880659,1
2339,297,1,1.0,-1.0,0.497498683,1,1,2,0.336137056,1
2341,299,1,1.0,1.0,0.099749555,1,1,2,0.232664824,1
2342,300,-1,1.0,1.0,0.034170945,1,0,1,0.271310806,1
2344,302,1,-1.0,-1.0,0.85,1,1,1,0.32998395,1
2349,307,1,-1.0,-1.0,0.099749555,1,1,1,0.259711027,1
2352,310,1,1.0,1.0,0.02,1,0,1,0.245184898,1
2353,311,-1,1.0,1.0,0.02,1,1,2,0.436319828,1
2354,312,1,-1.0,1.0,0.099749555,1,1,1,0.260530233,1
2355,313,1,1.0,1.0,0.099749555,1,1,2,0.301156044,1
2356,314,1,-1.0,-1.0,0.170426826,1,1,1,0.256216049,1
2359,317,1,-1.0,-1.0,0.02,1,0,2,0.403249741,1
2363,321,1,1.0,1.0,0.034170945,1,1,2,0.207411766,1
2364,322,-1,-1.0,-1.0,0.034170945,1,1,1,0.280057907,1
2366,324,1,-1.0,-1.0,0.099749555,1,1,1,0.278757095,1
2368,326,0,-1.0,-1.0,0.170426826,1,1,1,0.351325512,1
2369,327,1,-1.0,1.0,0.034170945,1,1,1,0.451290369,1
2376,334,1,-1.0,1.0,0.85,1,1,1,0.688548803,1
2377,335,1,1.0,1.0,0.291182282,1,1,2,0.311676979,1
2378,336,1,1.0,1.0,0.058382673,1,1,2,0.226577997,1
2381,339,1,-1.0,1.0,0.034170945,1,1,1,0.307734966,1
2384,342,1,-1.0,1.0,0.291182282,1,0,2,0.293068409,1
2385,343,1,-1.0,1.0,0.85,1,1,1,0.306305885,1
2386,344,1,-1.0,-1.0,0.034170945,1,0,2,0.244697094,1
2388,346,-1,1.0,1.0,0.497498683,1,1,2,0.392292023,1
2389,347,0,1.0,-1.0,0.034170945,1,1,2,0.296461105,1
2390,348,0,1.0,1.0,0.058382673,1,0,1,0.50384903,1
2391,349,1,1.0,1.0,0.034170945,1,1,2,0.289154768,1
2392,350,1,-1.0,-1.0,0.497498683,1,1,1,0.673531055,1
2393,351,1,1.0,-1.0,0.497498683,1,1,2,0.28494978,1
2394,352,-1,-1.0,-1.0,0.291182282,1,1,1,0.587195873,1
2395,353,-1,-1.0,1.0,0.099749555,1,0,2,0.277881384,1
2396,354,1,1.0,-1.0,0.099749555,1,0,1,0.330199957,1
2397,355,-1,-1.0,-1.0,0.85,1,0,2,1.235292673,1
2398,356,1,-1.0,1.0,0.497498683,1,1,1,0.346737623,1
2404,362,1,1.0,-1.0,0.058382673,1,0,1,0.402799129,1
2405,363,1,-1.0,1.0,0.497498683,1,1,1,0.267304897,1
2406,364,1,-1.0,-1.0,0.85,1,0,2,0.590608358,1
2409,367,1,1.0,-1.0,0.85,1,1,2,0.590311527,1
2411,369,1,1.0,-1.0,0.034170945,1,1,2,0.296794415,1
2412,370,-1,1.0,-1.0,0.099749555,1,1,2,0.427224159,1
2416,374,0,-1.0,-1.0,0.034170945,1,1,1,0.900259733,1
2419,377,1,-1.0,1.0,0.058382673,1,0,2,0.22111702,1
2420,378,-1,1.0,1.0,0.099749555,1,1,2,0.484685898,1
2422,380,1,1.0,-1.0,0.058382673,1,1,2,0.288671732,1
2424,382,1,1.0,-1.0,0.058382673,1,0,1,0.71658206,1
2426,384,1,-1.0,1.0,0.497498683,1,1,1,0.556517124,1
2428,386,0,1.0,1.0,0.497498683,1,1,2,0.296071053,1
2429,387,1,-1.0,-1.0,0.85,1,1,1,0.477377415,1
2430,388,0,-1.0,-1.0,0.058382673,1,0,2,0.386201143,1
2432,390,0,-1.0,1.0,0.85,1,1,1,0.387625933,1
2433,391,1,-1.0,-1.0,0.170426826,1,1,1,0.271895885,1
2435,393,1,-1.0,1.0,0.497498683,1,1,1,0.284345388,1
2438,396,1,1.0,1.0,0.02,1,1,2,0.393851042,1
2441,399,0,1.0,-1.0,0.170426826,1,1,2,0.40972209,1
2443,401,1,1.0,1.0,0.02,1,1,2,0.564795017,1
2448,406,1,-1.0,-1.0,0.058382673,1,1,1,0.325863838,1
2449,407,0,1.0,-1.0,0.02,1,0,1,0.373825073,1
2451,409,1,-1.0,-1.0,0.291182282,1,1,1,1.766778708,1
2453,411,1,-1.0,1.0,0.058382673,1,0,2,0.282450914,1
2457,415,1,-1.0,-1.0,0.058382673,1,1,1,0.418995857,1
2459,417,1,1.0,-1.0,0.058382673,1,1,2,0.812999964,1
2461,419,1,-1.0,1.0,0.058382673,1,1,1,0.391542673,1
2468,426,0,-1.0,1.0,0.058382673,1,0,2,0.409809351,1
2472,430,1,1.0,1.0,0.497498683,1,1,2,0.47484374,1
2473,431,0,-1.0,-1.0,0.099749555,1,1,1,0.546082735,1
2474,432,1,1.0,-1.0,0.497498683,1,1,2,0.388319492,1
2477,435,1,-1.0,1.0,0.02,1,0,2,0.379882336,1
2484,442,1,-1.0,1.0,0.099749555,1,1,1,0.286595583,1
2486,444,1,-1.0,1.0,0.099749555,1,1,1,0.302350044,1
2489,447,1,-1.0,-1.0,0.099749555,1,1,1,0.41245389,1
2490,448,0,1.0,-1.0,0.497498683,1,0,1,0.373896837,1
2491,449,0,1.0,1.0,0.02,1,1,2,0.484799862,1
2492,450,0,1.0,-1.0,0.099749555,1,1,2,0.476492405,1
2494,452,1,1.0,-1.0,0.099749555,1,1,2,0.367014408,1
2495,453,1,-1.0,1.0,0.058382673,1,0,2,0.506139278,1
2497,455,1,-1.0,-1.0,0.291182282,1,1,1,0.399375916,1
2498,456,1,1.0,-1.0,0.85,1,1,2,0.334987164,1
