,trialsIdx,conditions,rOri,lOri,xvals,respLoc,accuracy,targetLoc,RT,factor2
1811,972,-1,-1.0,-1.0,0.291182282,2,1,1,0.495913506,0
1812,973,0,1.0,-1.0,0.034170945,2,0,2,0.477598906,0
1813,974,0,-1.0,1.0,0.02,2,0,1,0.484730482,0
1814,975,1,1.0,1.0,0.099749555,2,1,2,0.415027142,0
1816,977,1,-1.0,1.0,0.02,2,0,1,0.360661268,0
1817,978,1,-1.0,-1.0,0.034170945,2,0,2,0.615201473,0
1818,979,1,1.0,-1.0,0.291182282,2,1,1,0.31156826,0
1819,980,1,-1.0,1.0,0.170426826,2,1,2,0.409222603,0
1820,981,0,-1.0,-1.0,0.497498683,2,1,1,0.349430323,0
1821,982,1,-1.0,-1.0,0.291182282,2,1,1,0.287457228,0
1822,983,-1,1.0,-1.0,0.034170945,2,1,1,0.500172615,0
1824,985,1,-1.0,-1.0,0.058382673,2,1,1,0.53621912,0
1828,989,-1,-1.0,-1.0,0.02,2,0,2,0.423523664,0
1829,990,1,1.0,-1.0,0.02,2,1,1,0.466170549,0
1830,991,-1,1.0,1.0,0.85,2,1,2,0.470989227,0
1832,993,1,1.0,-1.0,0.02,2,1,1,0.40893507,0
1833,994,1,1.0,-1.0,0.034170945,2,1,1,0.521180153,0
1840,906,-1,-1.0,1.0,0.170426826,2,1,2,0.755665064,0
1841,919,1,-1.0,1.0,0.170426826,2,1,2,0.472069263,0
1842,1001,1,1.0,1.0,0.099749555,2,1,2,0.36976409,0
1844,1003,-1,-1.0,-1.0,0.170426826,2,1,1,0.523024797,0
1849,1008,1,-1.0,-1.0,0.497498683,2,1,1,0.361164093,0
1850,1009,0,-1.0,1.0,0.034170945,2,1,2,0.374266148,0
1852,1011,1,-1.0,1.0,0.058382673,2,0,1,0.408928394,0
1855,1014,1,1.0,-1.0,0.058382673,2,0,2,0.552491903,0
1857,1016,1,-1.0,-1.0,0.02,2,1,1,0.656975269,0
1858,1017,-1,1.0,1.0,0.170426826,2,1,2,0.473107815,0
1859,1018,1,1.0,1.0,0.291182282,2,1,2,0.426463842,0
1860,1019,1,-1.0,-1.0,0.099749555,2,1,1,0.339871407,0
1864,1023,1,1.0,1.0,0.497498683,2,1,2,0.36557889,0
1865,1024,1,-1.0,-1.0,0.034170945,2,1,1,0.404923201,0
1866,1025,1,1.0,-1.0,0.099749555,2,1,1,0.392548084,0
1867,1026,1,1.0,1.0,0.291182282,2,1,2,0.351636887,0
1868,1027,-1,-1.0,-1.0,0.497498683,2,1,1,0.52670002,0
1876,1035,1,1.0,-1.0,0.099749555,2,1,1,0.392252207,0
1878,1037,0,1.0,1.0,0.85,2,1,2,0.392199039,0
1880,1039,0,-1.0,1.0,0.291182282,2,1,2,0.474151373,0
1886,1045,1,1.0,-1.0,0.058382673,2,1,1,0.470869064,0
1889,1048,1,-1.0,-1.0,0.85,2,0,2,0.672357798,0
1891,1050,1,-1.0,-1.0,0.034170945,2,0,2,0.479453087,0
1892,1051,1,1.0,1.0,0.85,2,1,2,0.455613613,0
1893,1052,1,1.0,1.0,0.058382673,2,1,2,0.412409067,0
1894,1053,1,-1.0,-1.0,0.034170945,2,1,1,0.50259304,0
1895,1054,1,1.0,1.0,0.099749555,2,1,2,0.286723137,0
1896,1055,-1,1.0,1.0,0.099749555,2,1,2,0.463279724,0
1897,1056,0,-1.0,1.0,0.85,2,1,2,0.37116003,0
1898,1057,1,1.0,1.0,0.85,2,0,1,0.444595814,0
1899,1058,1,-1.0,1.0,0.170426826,2,0,1,1.215196133,0
1900,1059,1,1.0,1.0,0.034170945,2,0,1,0.62605691,0
1902,1061,0,-1.0,-1.0,0.497498683,2,1,1,0.479207754,0
1907,1066,-1,1.0,-1.0,0.497498683,2,1,1,0.467097759,0
1908,1067,-1,1.0,1.0,0.170426826,2,1,2,0.614334345,0
1910,1069,1,-1.0,1.0,0.058382673,2,1,2,0.404700756,0
1912,1071,1,1.0,1.0,0.170426826,2,1,2,0.391552925,0
1914,1073,0,1.0,1.0,0.099749555,2,0,1,0.474802494,0
1916,1075,1,1.0,1.0,0.099749555,2,1,2,0.42323494,0
1917,1076,0,-1.0,1.0,0.034170945,2,1,2,0.69099617,0
1919,1078,0,1.0,-1.0,0.291182282,2,1,1,0.458165884,0
1921,1080,-1,1.0,1.0,0.170426826,2,1,2,0.550303936,0
1922,1081,0,1.0,1.0,0.291182282,2,1,2,0.338704824,0
1923,1082,1,-1.0,1.0,0.497498683,2,1,2,0.615344048,0
1926,1085,1,-1.0,1.0,0.02,2,1,2,0.687181234,0
1928,1087,1,-1.0,-1.0,0.02,2,0,2,0.486479759,0
1930,1089,1,-1.0,1.0,0.099749555,2,1,2,0.512582064,0
1934,1093,-1,-1.0,1.0,0.291182282,2,1,2,0.584445715,0
1937,1096,1,-1.0,1.0,0.058382673,2,0,1,0.416045904,0
1938,1097,0,1.0,1.0,0.85,2,1,2,0.403255224,0
1947,1106,1,1.0,-1.0,0.497498683,2,1,1,0.393057585,0
1951,1110,0,-1.0,1.0,0.02,2,0,1,0.41930294,0
1952,1111,-1,1.0,-1.0,0.497498683,2,0,2,0.616562366,0
1954,1113,0,-1.0,-1.0,0.034170945,2,1,1,0.341236591,0
1955,1114,-1,1.0,-1.0,0.058382673,2,0,2,0.491308689,0
1956,1115,-1,-1.0,1.0,0.85,2,1,2,0.644984245,0
1957,1116,1,1.0,-1.0,0.170426826,2,1,1,0.380843163,0
1961,1120,-1,1.0,-1.0,0.291182282,2,1,1,0.457779169,0
1962,1121,-1,1.0,1.0,0.058382673,2,0,1,0.595821142,0
1963,1122,1,-1.0,-1.0,0.02,2,0,2,0.651520491,0
1964,1123,1,-1.0,1.0,0.034170945,2,0,1,0.403081179,0
1965,1124,1,1.0,1.0,0.85,2,1,2,0.398502827,0
1967,1126,1,-1.0,1.0,0.099749555,2,1,2,0.458511829,0
1968,1127,1,-1.0,1.0,0.034170945,2,1,2,0.388292789,0
1969,1128,-1,-1.0,-1.0,0.497498683,2,1,1,0.434273481,0
1971,1130,1,1.0,-1.0,0.058382673,2,1,1,0.432697773,0
1972,1131,0,-1.0,-1.0,0.058382673,2,0,2,0.505085707,0
1973,1132,1,-1.0,1.0,0.02,2,0,1,0.341974258,0
1976,1135,1,-1.0,1.0,0.02,2,1,2,0.414871216,0
1977,1136,1,1.0,-1.0,0.034170945,2,1,1,0.49661088,0
1978,1137,1,-1.0,1.0,0.099749555,2,1,2,0.486195803,0
1979,1138,1,-1.0,1.0,0.02,2,0,1,0.464529991,0
1980,1139,1,-1.0,1.0,0.099749555,2,1,2,0.517099142,0
1981,1140,1,-1.0,-1.0,0.497498683,2,1,1,0.370662928,0
1984,1143,1,1.0,1.0,0.058382673,2,1,2,0.38543582,0
1988,1147,0,1.0,-1.0,0.291182282,2,0,2,0.609499216,0
